,Canon,Num Ins,Num Obj,Clarity Mean,Clarity Std,Clarity Median,Identifiability Mean,Identifiability Std,Identifiability Median,Unique Responses,Total Responses,Unique Response Ratio,Difficulty_Score,Difficulty_Rank
18,Computer Mouse,4,4,2.84,1.4880860190190617,3.0,1.92,1.3541048703848606,1.0,25,25,1.0,0.859309544470196,1
46,Computer Mouse,4,4,3.269230769230769,1.58254158549546,4.0,2.5384615384615383,1.8023653098246124,1.0,25,26,0.9615384615384616,0.8511684216890806,2
29,Fish bones,3,3,2.8461538461538463,1.4856313781406127,3.0,1.7692307692307692,1.2802551520840952,1.0,23,26,0.8846153846153846,0.7482943265112354,3
13,Computer Mouse,4,3,3.4166666666666665,1.3202482931462383,4.0,3.0,1.5,3.0,20,24,0.8333333333333334,0.7418457479906454,4
20,"Crystal ball, Person Outline",4,2,3.130434782608696,1.5123936635587902,3.0,2.4782608695652173,1.4998424617965511,2.0,22,23,0.9565217391304348,0.7380031106155932,5
30,Balloon,4,3,3.8260869565217392,1.2735494361632007,4.0,3.0,1.5322617553657476,2.0,20,23,0.8695652173913043,0.7324644726199256,6
43,Computer Mouse,4,3,3.6296296296296298,1.1594426549998909,4.0,2.7777777777777777,1.1331154474650633,3.0,27,27,1.0,0.7324056829010255,7
21,Fish,4,3,3.88,1.2749901960407382,4.0,3.0,1.469693845669907,3.0,20,25,0.8,0.7208342020855323,8
42,Mouse,3,3,3.625,1.378782675647858,4.0,2.4583333333333335,1.4713702985841313,2.0,23,24,0.9583333333333334,0.7158409820449328,9
45,"Lightbulb, Ice Cream",4,2,3.36,1.352922762023021,4.0,2.56,1.298614646459834,3.0,23,25,0.92,0.7069768704241428,10
51,Letter F,4,2,3.2962962962962963,1.4861038998325096,4.0,3.0,1.46565621758588,3.0,18,27,0.6666666666666666,0.6853657836486973,11
17,Ice cream,4,2,3.2962962962962963,1.299994724058092,3.0,2.814814814814815,1.3063105250776592,3.0,21,27,0.7777777777777778,0.6847597069012321,12
2,Glasses,4,2,3.5,1.3399457248166977,4.0,3.0454545454545454,1.2604931476238226,3.0,20,22,0.9090909090909091,0.6845673981674806,13
36,Clubs symbol,4,3,4.115384615384615,1.219297498780566,5.0,3.769230769230769,1.2498520622516862,4.0,21,26,0.8076923076923077,0.6776882472823819,14
49,Stick Figure,4,3,4.037037037037037,1.2614360271056593,4.0,4.0,1.4142135623730951,5.0,20,27,0.7407407407407407,0.6767454424369007,15
12,Goblet,4,2,3.6153846153846154,1.3323467750529825,4.0,3.3846153846153846,1.570813681281703,4.0,21,26,0.8076923076923077,0.6759272535859652,16
9,"Comb, Pitchfork",4,2,3.769230769230769,1.186711432349347,4.0,3.1538461538461537,1.5112986695683461,4.0,23,26,0.8846153846153846,0.6756697358651155,17
52,Sailboat,4,2,3.269230769230769,1.4821422206152073,3.5,3.076923076923077,1.5423028965971863,3.5,14,26,0.5384615384615384,0.6746837943221582,18
32,Plunger,4,2,3.96,1.2483589227461787,5.0,3.16,1.460958589419974,3.0,21,25,0.84,0.6658658756083077,19
34,"Bow tie, Owl",4,3,4.32,0.78587530817554,4.0,3.56,1.6511813952440235,4.0,17,25,0.68,0.6634528351709783,20
1,Ladder,4,3,4.04,1.1825396399275585,4.0,3.92,1.4945233353815524,5.0,14,25,0.56,0.6610531487654556,21
27,Glasses,3,4,3.8461538461538463,1.166596222161777,4.0,3.730769230769231,1.3744283373235107,4.0,13,26,0.5,0.6597435356665721,22
33,"Bow tie, Owl",4,2,3.6923076923076925,1.3521842947113034,4.0,3.3076923076923075,1.4079234782863943,3.0,18,26,0.6923076923076923,0.6572361578806541,23
40,Mug,3,2,3.7916666666666665,1.3838101587846345,4.0,2.75,1.479019945774904,2.5,23,24,0.9583333333333334,0.6527248385613104,24
39,Mug,3,2,3.888888888888889,1.3425606637327303,4.0,2.7777777777777777,1.5947444549341472,3.0,25,27,0.9259259259259259,0.6494578485259365,25
8,Butterfly,4,3,4.12,1.2432216214336045,5.0,3.96,1.45547243189282,5.0,10,25,0.4,0.6425347026663212,26
7,Butterfly,4,3,4.222222222222222,1.314684396244359,5.0,3.962962962962963,1.477773136537778,5.0,10,27,0.37037037037037035,0.6411043581205884,27
31,Goblet,4,2,4.125,1.2011279421166312,5.0,3.4583333333333335,1.5269568501507245,4.0,16,23,0.6956521739130435,0.6384694570046723,28
11,Goblet,4,2,3.7142857142857144,0.982846068597633,4.0,3.3333333333333335,1.1268723396380222,4.0,17,21,0.8095238095238095,0.6350097299355925,29
50,Television,4,3,4.25,0.924211375534118,4.5,3.7916666666666665,1.224035901797365,4.0,14,24,0.5833333333333334,0.6344956971999075,30
22,Lollipop,4,3,4.32,0.6144916598294886,4.0,3.44,1.1689311356961964,4.0,17,25,0.68,0.6343711397762843,31
16,Ice cream,4,2,3.75,1.0897247358851685,4.0,3.625,1.1479147761629926,4.0,20,24,0.8333333333333334,0.6339653089357414,32
26,Door,3,2,3.44,1.298614646459834,4.0,3.12,1.3362634470792052,3.0,22,25,0.88,0.6329439046769518,33
5,Glasses,3,3,3.96,1.148216007552586,4.0,3.48,1.2687001221722964,4.0,18,25,0.72,0.6296458064862441,34
38,"Clubs symbol, Ice cream",4,3,4.3076923076923075,0.7216024245882199,4.0,3.8461538461538463,1.0986812966989001,4.0,19,26,0.7307692307692307,0.6294757245258944,35
10,"Comb, Pitchfork",3,2,3.72,1.3717142559585798,4.0,3.44,1.5768322675541617,4.0,20,25,0.8,0.6226273261756372,36
19,"Crystal ball, Person Outline",3,2,3.8,1.2649110640673518,4.0,3.12,1.3658696863171098,3.0,22,25,0.88,0.6219390375192231,37
47,Letter T,4,1,3.217391304347826,1.2495745967999925,3.0,3.217391304347826,1.412876244284515,4.0,16,23,0.6956521739130435,0.6196442811846602,38
23,Chair,3,2,3.6,1.0954451150103321,4.0,2.92,1.26237870704476,3.0,20,25,0.8,0.6122911911027547,39
28,Shovel,3,2,3.8,1.0954451150103321,4.0,3.12,1.2749901960407382,3.0,19,25,0.76,0.5969217655525534,40
37,"Clubs symbol, Ice cream",4,3,4.458333333333333,0.705878097754059,5.0,4.208333333333333,0.8650224788344456,4.0,15,24,0.625,0.5910450288294253,41
55,Clock,3,2,4.0,1.4422205101855958,5.0,3.68,1.4344336861632885,4.0,16,25,0.64,0.5874327098174441,42
44,Clock,2,2,3.7083333333333335,1.3063679505492403,4.0,3.0416666666666665,1.6703085210689539,3.0,19,24,0.7916666666666666,0.5855004902475762,43
54,"Yield Sign, Martini Glass",3,2,4.4,1.0954451150103321,5.0,3.48,1.6998823488700623,4.0,17,25,0.68,0.5813663731940197,44
35,Broom,3,2,4.2727272727272725,1.0946904162538451,5.0,3.5454545454545454,1.304790917673393,4.0,18,22,0.8181818181818182,0.5772467939690892,45
58,Pine tree,3,2,4.115384615384615,1.0124958908529371,4.0,3.3461538461538463,1.3851494696437774,3.0,18,26,0.6923076923076923,0.5752668834094511,46
48,Heart,4,2,4.130434782608695,0.8994852550250956,4.0,4.173913043478261,1.0895620944471016,5.0,14,23,0.6086956521739131,0.5711914979083924,47
53,Music Note,3,2,3.769230769230769,1.0851335368973756,4.0,3.3461538461538463,1.2692307692307692,4.0,14,25,0.56,0.5702566768448688,48
14,House,4,2,4.12,0.9516301802696256,4.0,4.08,1.0166612021711068,4.0,12,25,0.48,0.5604145691220367,49
6,Pine Tree,3,3,4.304347826086956,0.9971604296678013,5.0,4.217391304347826,0.882512310008019,4.0,13,23,0.5652173913043478,0.5548532022011824,50
59,House,3,2,3.92,1.1285388783732706,4.0,3.92,1.1285388783732706,4.0,15,25,0.6,0.5476538878373272,51
3,Glasses,3,2,4.4,0.8485281374238569,5.0,3.64,1.352922762023021,4.0,17,25,0.68,0.5468725449723439,52
24,Chair,3,1,4.0,1.1547005383792515,4.0,3.4583333333333335,1.4427741410983987,4.0,19,24,0.7916666666666666,0.5452904006405492,53
4,Glasses,2,2,3.8846153846153846,1.2808327542574394,4.0,3.3076923076923075,1.3521842947113034,4.0,18,26,0.6923076923076923,0.5451123909099757,54
15,Ice cream,3,2,4.32,0.6764613810115105,4.0,3.92,1.2936769303036981,4.0,15,25,0.6,0.5213069155657604,55
25,Flag,3,2,4.208333333333333,0.9119195261766371,4.0,4.333333333333333,1.0274023338281628,5.0,13,24,0.5416666666666666,0.5048827596669067,56
56,Hourglass,3,2,4.653846153846154,0.6760921473556517,5.0,4.3076923076923075,0.9910845174403943,5.0,17,26,0.6538461538461539,0.4898972947782638,57
0,Ladder,3,3,4.730769230769231,0.8113470426818842,5.0,4.769230769230769,0.5756395979652218,5.0,8,26,0.3076923076923077,0.4751185628015861,58
41,"Window, Grid",2,2,4.423076923076923,0.8400126795323675,5.0,4.269230769230769,1.0212244651809042,5.0,14,26,0.5384615384615384,0.4461387803125867,59
57,Umbrella,3,2,4.5,0.6267831705280087,5.0,4.535714285714286,0.6804485315449161,5.0,7,28,0.25,0.4292901565322177,60
