,ResponseId,VVIQ_sum,VVIQ_mean,VVIQ_std,VVIQ - 01,VVIQ - 02,VVIQ - 03,VVIQ - 04,VVIQ - 05,VVIQ - 06,VVIQ - 07,VVIQ - 08,VVIQ - 09,VVIQ - 10,VVIQ - 11,VVIQ - 12,VVIQ - 13,VVIQ - 14,VVIQ - 15,VVIQ - 16
0,R_6hazd14Iv0vRJV7,56,3.5,1.8257418583505538,1,1,4,3,5,5,5,5,1,1,4,1,5,5,5,5
1,R_5vQ6Xf1WugueDND,70,4.375,0.7187952884282608,3,4,3,4,4,5,5,5,5,5,4,4,5,5,5,4
2,R_5KpdGyLKCFDJS5r,61,3.8125,1.5152007567755943,4,2,1,3,5,5,5,5,5,5,2,5,1,5,4,4
3,R_5hfsgpVmDBRxfr5,45,2.8125,0.4031128874149275,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3
4,R_6Eu2oR7CwVBRwyp,56,3.5,0.816496580927726,3,4,3,3,4,5,5,5,3,3,3,3,3,3,3,3
5,R_6D6PBkrChss508l,71,4.4375,0.6291528696058958,5,4,5,5,4,5,5,4,4,4,3,5,5,5,4,4
6,R_7LLF8qLJV3UgQE1,56,3.5,0.8944271909999159,3,4,2,4,4,5,4,4,4,2,4,2,4,3,3,4
7,R_78Z3gy1mcpQ6lpQ,35,2.1875,0.8341662504161466,3,2,1,1,3,2,2,1,3,1,3,3,3,2,3,2
8,R_5WU8WIr7pguhYVA,39,2.4375,0.6291528696058958,3,2,2,2,3,3,3,3,3,2,2,2,3,2,3,1
9,R_59txcXaWbmO04SW,66,4.125,0.5,5,4,4,5,4,4,3,5,4,4,4,4,4,4,4,4
10,R_7iswQke6K35dZLP,48,3.0,0.6324555320336759,3,2,4,4,3,3,2,3,4,3,3,3,3,2,3,3
11,R_6g0EFev6t4FKlcE,62,3.875,0.806225774829855,4,4,4,4,5,4,5,5,3,3,3,2,4,4,4,4
12,R_5mBwuHcjIHstC01,50,3.125,0.806225774829855,2,4,2,4,3,4,3,2,3,4,3,2,3,4,4,3
13,R_7sEXibfidLgmOWd,47,2.9375,0.25,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
14,R_7Y5oIYgYMSPPwIa,54,3.375,0.806225774829855,5,4,4,2,4,3,4,3,4,3,4,3,3,3,2,3
15,R_3Jd1uTp9gkuwtOx,49,3.0625,0.7719024117939607,2,3,2,2,3,4,3,3,4,4,4,4,3,3,2,3
16,R_1NOosR37pJud2UA,57,3.5625,0.963932916061417,4,4,2,4,4,4,5,4,3,2,3,2,3,4,5,4
17,R_16SaFYG3hG62QF3,53,3.3125,0.9464847243000456,3,4,2,5,3,3,5,4,2,3,4,3,3,4,3,2
18,R_5Phftz7eKxQRBg1,50,3.125,0.6191391873668903,4,3,3,2,3,3,3,3,4,4,3,4,3,2,3,3
19,R_53qZezuj1Aowmel,49,3.0625,0.9287087810503355,4,3,2,4,3,4,5,2,2,2,3,3,3,4,3,2
20,R_5hxwR1AIkCiK5YQ,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,R_7jrDLd1FIMqRkxj,60,3.75,1.1254628677422756,4,4,2,5,4,5,2,4,4,2,5,4,4,5,4,2
22,R_5fIoIo9ELuQ1U1M,50,3.125,1.3601470508735443,5,2,1,2,4,3,2,5,5,4,3,4,4,3,1,2
23,R_35MZhXTsEy0Q8Ct,61,3.8125,1.42448821218944,5,5,4,5,4,1,2,4,5,5,5,5,3,4,3,1
24,R_6P7TbV4CF3UQq2I,42,2.625,0.806225774829855,4,3,2,3,2,2,2,1,3,3,2,3,3,3,4,2
25,R_5IME3bnJF5C8vPK,23,1.4375,0.6291528696058958,2,3,1,1,2,1,1,2,2,1,2,1,1,1,1,1
26,R_7D6TWTVSx8Nbnl3,77,4.8125,0.4031128874149275,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4
27,R_3zpB5H3IbG7VP2T,66,4.125,0.9574271077563381,5,4,4,3,5,5,3,2,5,5,5,5,4,4,4,3
28,R_7urH6KcIAcTkWCB,71,4.4375,0.6291528696058958,4,5,5,4,5,4,4,5,4,4,5,5,4,5,5,3
29,R_1mczKBtg2GsAMRr,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,R_3VJvcRXM4mhNG0x,52,3.25,0.7745966692414834,4,4,3,3,3,3,3,4,3,2,2,2,4,4,4,4
31,R_5iOMXXK1u9zcmXQ,58,3.625,0.9574271077563381,3,2,3,2,4,3,4,4,5,3,4,5,3,5,4,4
32,R_67re1CUSK65lHix,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
33,R_1PR4qXLMAceGiOt,47,2.9375,0.8539125638299665,3,3,2,4,4,5,3,3,3,2,2,3,2,3,3,2
34,R_7ikqRNbiqOG98sh,51,3.1875,1.558578412100805,4,4,1,1,5,1,1,5,1,4,4,4,4,4,4,4
35,R_3zjUkGkE3FsX1RL,50,3.125,0.8850612031567836,3,2,1,3,4,4,4,4,3,2,3,3,3,4,4,3
36,R_5dnySa1ce8EsOdt,46,2.875,0.6191391873668903,4,3,2,3,3,3,4,2,3,3,2,3,2,3,3,3
37,R_6VQHLZ7aMXrAeuc,64,4.0,0.3651483716701107,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4
38,R_7AWa8yqYLHwffXz,55,3.4375,1.0935416468216166,3,2,3,2,3,4,2,4,4,4,4,5,2,5,5,3
39,R_3fZQKPrA5XxeCM0,58,3.625,0.5,4,4,4,3,4,4,3,4,3,3,3,4,4,3,4,4
40,R_6G88HMPnMd2CyLe,29,1.8125,0.4031128874149275,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2
41,R_7iwHIm3XZH8niBo,63,3.9375,0.7719024117939607,4,3,3,5,4,4,3,4,4,4,3,3,5,5,5,4
42,R_3qK9HL1UIzK92MG,49,3.0625,0.7719024117939607,3,4,3,4,3,3,4,3,3,1,3,4,2,3,3,3
43,R_616NzOp9CQR5coo,50,3.125,1.1474609652039003,3,3,2,4,4,4,3,4,4,4,1,5,3,2,3,1
44,R_6v6cp0SNipCZJqV,58,3.625,0.6191391873668903,5,4,4,3,3,4,3,4,4,3,3,3,4,4,4,3
45,R_3Wu3EGpCFW6Qbuk,64,4.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
46,R_7rGSNqpHRRXGZWh,64,4.0,0.7302967433402214,5,4,4,3,4,4,3,4,5,5,5,4,4,4,3,3
47,R_7U2V9B5aP4N5bKp,47,2.9375,0.25,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
48,R_6NaHI4FRAJFo4fZ,73,4.5625,0.51234753829798,5,5,4,5,5,4,4,5,5,5,4,4,5,4,5,4
49,R_3fkIyfPjf94dl8o,65,4.0625,0.8539125638299665,4,4,4,4,2,3,3,4,4,4,5,5,5,5,4,5
50,R_7onYeAhpKiYWobL,43,2.6875,0.873212459828649,3,2,2,1,4,3,3,3,3,3,4,4,2,2,2,2
51,R_1mbwAksBbHkjRxT,56,3.5,1.1547005383792515,5,4,2,4,5,5,4,5,3,4,3,3,2,2,3,2
52,R_1riWAwAgFR9OYj9,60,3.75,1.3416407864998738,5,3,1,3,5,5,4,4,3,1,4,5,3,5,5,4
53,R_71C2kK0ya2WVTj3,73,4.5625,0.51234753829798,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5
54,R_53wlqQMRl8RoPUR,50,3.125,0.806225774829855,3,2,2,3,3,5,3,4,3,3,3,3,2,4,4,3
55,R_3hrNeSuAdYDCaL7,59,3.6875,1.0144785195688801,3,3,1,4,4,5,4,5,4,3,3,5,4,4,4,3
56,R_6mXDO57GGpQM4Q8,58,3.625,0.9574271077563381,3,2,3,4,4,3,3,4,4,3,4,2,5,5,4,5
57,R_3NDJv5Msv9mPkGK,52,3.25,0.6831300510639732,3,3,2,3,4,4,3,3,3,2,3,4,4,4,4,3
58,R_3cl2IMba6u7Q2Nr,58,3.625,0.7187952884282608,3,3,2,3,4,4,3,4,4,3,4,4,4,4,5,4
59,R_6NWzqbX4O0AMjJv,53,3.3125,0.6020797289396148,3,3,3,4,3,4,4,4,4,3,4,3,2,3,3,3
60,R_5LqyB71r6ag7pal,65,4.0625,0.6800735254367721,5,4,4,4,5,5,5,4,3,4,4,3,4,3,4,4
61,R_7PodChoqtIWfEkN,64,4.0,1.0954451150103321,4,5,3,2,4,5,5,4,5,5,5,5,3,4,2,3
62,R_1IbBFfixZh63O47,53,3.3125,0.7932002689527196,3,2,4,3,4,5,3,3,4,2,3,3,4,4,3,3
63,R_5DAIrNhtzGGUJgt,53,3.3125,1.0144785195688801,4,4,4,4,3,5,4,5,2,2,2,2,3,3,3,3
64,R_3gw89p3wacWQFRn,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
65,R_57Jf15YvbX6JX9g,49,3.0625,0.25,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
66,R_6ieepBYwPOcVPZO,65,4.0625,0.8539125638299665,4,3,5,5,5,5,4,5,5,3,4,3,3,4,4,3
67,R_6HnmuPESQ911bSs,57,3.5625,0.51234753829798,4,4,3,4,4,3,3,4,3,3,4,4,4,3,3,4
68,R_7HiuT8KLZwyWhV9,45,2.8125,0.8341662504161466,3,3,3,3,4,4,4,4,2,2,2,3,2,2,2,2
69,R_30x9wSvmkEmbVoB,64,4.0,1.0954451150103321,5,4,5,2,3,5,4,5,5,4,3,5,3,2,4,5
70,R_1LjuLUT4Y6CYGNe,16,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,R_5XBVD7OnUiSPYzv,54,3.375,0.9574271077563381,4,4,3,5,4,2,4,5,3,2,3,3,3,2,3,4
72,R_6PA4QEiXZDENKp1,44,2.75,0.7745966692414834,2,3,2,2,4,3,3,3,2,4,4,3,2,2,3,2
73,R_5fjcrirfMR1Dwul,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
74,R_7IcV6n5DqSpqtcR,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,R_6XoaIFqgUFLI7kJ,68,4.25,0.6831300510639732,4,3,3,5,5,5,5,5,4,4,4,4,4,5,4,4
76,R_7JKsUnPA3jzjDRI,42,2.625,0.6191391873668903,2,2,1,2,3,3,3,2,3,3,3,3,3,3,3,3
77,R_1NxJpYzFJggITGm,40,2.5,0.816496580927726,3,3,3,2,4,3,2,3,2,2,2,3,3,3,1,1
78,R_3rUW4R8o2RDWKZB,58,3.625,0.5,4,3,3,4,4,4,4,4,3,4,3,4,3,4,4,3
79,R_1QDFcDrzwXtPhSw,45,2.8125,0.75,4,4,3,2,2,2,3,2,3,4,2,3,2,3,3,3
80,R_5dWeWShB7qgdljb,47,2.9375,0.7719024117939607,3,3,3,4,4,4,3,2,2,2,2,2,3,3,3,4
81,R_18IHc8q1xLCnQHe,29,1.8125,0.6551081335677849,2,1,2,1,2,1,1,1,3,2,2,2,2,2,3,2
82,R_6kgGwRyVnn2pfaN,53,3.3125,0.6020797289396148,4,4,4,3,3,3,4,4,2,3,3,3,4,3,3,3
83,R_1HvLzzAFpuugjE9,37,2.3125,0.873212459828649,2,1,1,2,3,3,4,3,3,1,2,3,2,3,2,2
84,R_67jsyOVtJ4io3hM,45,2.8125,0.5439056290693574,3,3,3,4,3,3,3,3,2,2,2,2,3,3,3,3
85,R_3hGCmhPK0roMNK6,66,4.125,0.7187952884282608,3,5,4,4,5,4,3,5,4,5,5,4,4,4,4,3
86,R_3wo5ExxrXHBVtdF,55,3.4375,0.8139410298049853,3,4,4,4,3,2,3,3,4,3,2,3,5,4,4,4
87,R_3pECSJ1nV3ebG8v,48,3.0,0.7302967433402214,3,2,2,2,3,3,3,4,4,4,4,3,3,3,3,2
88,R_3LYjBidWcX7T3mo,65,4.0625,0.4425306015783918,3,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4
89,R_3kvWEB9djiIi0IW,52,3.25,0.5773502691896257,3,3,2,4,3,4,4,4,3,3,4,3,3,3,3,3
90,R_1FenkheohNSgeLu,54,3.375,1.0878112581387147,4,3,2,4,4,3,5,5,3,2,4,5,2,3,3,2
91,R_1PcY1LS2Mfhz64A,56,3.5,0.816496580927726,4,4,3,4,3,3,2,4,4,3,5,4,3,4,2,4
92,R_32V2gkHfxz9ROBB,64,4.0,0.3651483716701107,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3
93,R_6HAHLrUWhq9nby4,61,3.8125,0.8341662504161466,4,4,3,2,5,4,4,4,4,3,4,3,5,5,4,3
94,R_7Kuxq2JKf3BOKPH,48,3.0,0.816496580927726,4,4,3,2,2,2,3,3,2,4,4,3,2,3,4,3
95,R_6RqfSAN0DF8nnsa,63,3.9375,0.7719024117939607,4,4,3,4,4,4,5,5,5,5,4,3,3,3,3,4
96,R_1paSSMOwVWpJyn2,53,3.3125,0.7932002689527196,3,3,2,2,4,4,4,4,3,3,2,3,4,4,4,4
97,R_7NhDTJ2fxewY5qh,53,3.3125,1.0144785195688801,2,3,1,4,3,4,4,4,2,3,4,4,3,4,5,3
98,R_5RvyCf53JoQh7Eg,71,4.4375,0.6291528696058958,4,4,3,4,5,5,5,5,4,4,5,4,5,5,5,4
99,R_6YaCnTxmrtmyBmt,70,4.375,0.6191391873668903,5,4,4,5,4,5,3,5,5,4,4,5,4,4,5,4
